category	score	size_bytes	mtime	sha256	source_path	snapshot_path	development_markers
geocoding	3	4035	2026-08-24T21:47:26.605344	f129e377d39bb9eddec0949d4b2c0bdfea563770eadabb6a98a979ad51faca5a	/tmp/run_p15_7c_cog_rasterizer.sh	files/geocoding/run_p15_7c_cog_rasterizer__f129e377d3.sh	P15,p15_
geocoding	2	1236	2026-08-24T22:34:45.785344	fb1f9194ab29a68e9007d6fc5ff5cef95ffa95c5bfb3d11ed5111080214948b8	/tmp/init_pypsds_v11_structure.sh	files/geocoding/init_pypsds_v11_structure__fb1f9194ab.sh	
geometry	6	18126	2026-08-24T19:34:08.055817	ee51f32f9b14a458f278e18df4f659d0a5540433f32eedd53de4db64af1f1e5f	/tmp/p15_6a_stamps_xy_grid_audit.py	files/geometry/p15_6a_stamps_xy_grid_audit__ee51f32f9b.py	P15,PASS_STAMPS,p15_
geometry	6	16023	2026-08-24T21:02:15.313344	6b9b65547398d741bd900bcb94935ec1ba80ecd5fa50b13b62bbd33998f74a39	/tmp/p15_7b0_geocoding_contract_audit.py	files/geometry/p15_7b0_geocoding_contract_audit__6b9b655473.py	P15,PASS_FINAL,p15_
geometry	6	22504	2026-08-18T07:12:43	ac207b122b9f3837d05aca6870eb63dcdab3252ef72997c6ae7effc9231d9cac	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/development/legacy_v09/scripts/10r5a1_fix_stage7_boundary_xy_v09.py	files/geometry/10r5a1_fix_stage7_boundary_xy_v09__ac207b122b.py	prototype
geometry	5	7639	2026-08-24T18:03:26.725358	d63c14895eb9513cb9ebc384a12f0c383066922ea9ea804f6c05109b9d370ed6	/tmp/p15_5b3_stamps_baseline_source_audit.py	files/geometry/p15_5b3_stamps_baseline_source_audit__d63c14895e.py	P15,p15_,prototype
geometry	4	12775	2026-08-24T16:31:49.013148	14d749c8b9f744f8b256ecf81908ba21cf26e697a7dbc28507d612880b543034	/tmp/p15_3h_fast_incidence_final.py	files/geometry/p15_3h_fast_incidence_final__14d749c8b9.py	P15,p15_
geometry	3	10959	2026-08-24T16:11:24.757148	507edab36312ab3824bf2017f2cce024951935dfa2a1448a8bd94f2c048c5c49	/tmp/p15_3d_fast_incidence.py	files/geometry/p15_3d_fast_incidence__507edab363.py	P15,p15_
geometry	3	17822	2026-08-24T16:21:18.513148	becab4f81a4866b6eb683758a9eb18a6743d8bc74b05c580e05bfbacb9981ea2	/tmp/p15_3f_zero_doppler_fast.py	files/geometry/p15_3f_zero_doppler_fast__becab4f81a.py	P15,p15_
geometry	3	8076	2026-08-24T16:26:12.069148	7866f415c2dc8bcfbd9ccf62222f0f3b50bfdafd7ecdbd9c211ff0b8bd253dad	/tmp/p15_3g_incidence_definition.py	files/geometry/p15_3g_incidence_definition__7866f415c2.py	P15,p15_
